layer_1_term_1,index,x,y_pred,y_true,y_best,final_ans_in_last_layer,y_pred_similarity_score,y_pred_similarity_percentile,y_best_similarity_score,y_best_similarity_percentile,layer_1_term_1_votes,layer_1_term_2,layer_1_term_2_votes,layer_1_term_3,layer_1_term_3_votes,layer_2_term_1,layer_2_term_1_votes,layer_2_term_2,layer_2_term_2_votes,layer_2_term_3,layer_2_term_3_votes,layer_2_term_4,layer_2_term_4_votes,layer_2_term_5,layer_2_term_5_votes,layer_2_term_6,layer_2_term_6_votes,layer_3_term_1,layer_3_term_1_votes,layer_3_term_2,layer_3_term_2_votes,layer_3_term_3,layer_3_term_3_votes,layer_3_term_4,layer_3_term_4_votes,layer_3_term_5,layer_3_term_5_votes,layer_3_term_6,layer_3_term_6_votes,layer_4_term_1,layer_4_term_1_votes,layer_4_term_2,layer_4_term_2_votes,layer_4_term_3,layer_4_term_3_votes,layer_4_term_4,layer_4_term_4_votes,layer_4_term_5,layer_4_term_5_votes,layer_4_term_6,layer_4_term_6_votes,layer_5_term_1,layer_5_term_1_votes,layer_5_term_2,layer_5_term_2_votes,layer_5_term_3,layer_5_term_3_votes,layer_5_term_4,layer_5_term_4_votes,layer_5_term_5,layer_5_term_5_votes,layer_5_term_6,layer_5_term_6_votes
Embryonic development,26,BMP4 ADIPOQ HNF1B STAT1 OSR1,Nephron progenitor cell differentiation,negative regulation of kidney development,Nephron development,TRUE,0.51415277,0.922220403,0.5958558,0.963812019,1,Regulation of gene expression,1,Metabolic process,0,Mesoderm formation,1,Adipogenesis,0,Organogenesis,1,Regulation of transcription from RNA polymerase II promoter,0,Signal transduction in response to cytokine stimulus,0,Adipocyte differentiation,0,Skeletal system development,1,Blood vessel development,0,Cardiomyocyte differentiation,0,Kidney morphogenesis,1,Liver development,0,Adipose tissue development,0,Chondrogenesis,0,Osteoblast differentiation,0,Bone mineralization,0,Nephron development,1,Ureteric bud branching,1,Renal vesicle formation,0,Glomerular development,0,Renal tubule morphogenesis,0,Nephron progenitor cell differentiation,*,Metanephric mesenchyme induction,1,Ureteric bud growth factor signaling,0,Ureteric bud-cell proliferation,0
Nucleotide biosynthetic process,27,CAD UCK1 UCK2 CDA UMPS CMPK1 UPP1 UPP2 UCKL1 DHODH,Uridine monophosphate (UMP) synthesis,UMP biosynthetic process,UMP biosynthetic process,TRUE,0.9500662,0.999918127,1,0.999918127,1,Nucleotide metabolic process,0,Pyrimidine nucleotide metabolic process,1,Pyrimidine nucleotide biosynthetic process,1,Uridine monophosphate (UMP) biosynthesis,0,Nucleoside monophosphate (NMP) kinase activity,0,Pyrimidine nucleotide biosynthetic process,1,Pyrimidine nucleotide salvage pathway,1,Uridine monophosphate (UMP) biosynthetic process,0,Uridine monophosphate biosynthetic process,1,Cytidine triphosphate (CTP) biosynthetic process,0,Dihydroorotate dehydrogenase (DHODH) activity,0,De novo pyrimidine ribonucleotide biosynthetic process,1,UMP biosynthetic process,0,Orotidine 5'-phosphate decarboxylation,0,Orotidine 5'-phosphate decarboxylation,0,De novo pyrimidine ribonucleotide biosynthesis,1,Pyrimidine nucleotide salvage pathway,1,Orotate phosphoribosyltransferase activity,0,Dihydroorotate dehydrogenase (quinone) activity,0,Carbamoyl-phosphate synthetase II activity,0,Uridine monophosphate (UMP) synthesis,*,Orotidine 5'-monophosphate (OMP) decarboxylation,0,Dihydroorotate dehydrogenation,1,Uridine phosphorylation,0,Cytidine deamination,0,Dihydroorotate dehydrogenation,1
Signal transduction,28,SPART WNT3A WNT3,Wnt/β-catenin target gene transcription,regulation of collateral sprouting in absence of injury,Neurogenesis,TRUE,0.359808,0.79457999,0.46159658,0.869084657,1,Cellular development,1,Regulation of gene expression,0,Wnt signaling pathway,1,Beta-catenin signaling pathway,0,Regulation of cell proliferation,0,Cell differentiation,0,Embryonic morphogenesis,1,Neurogenesis,0,Beta-catenin independent Wnt signaling pathway,0,Canonical Wnt signaling pathway,1,Regulation of cell proliferation via Wnt signaling pathway,0,Axis specification,1,Neural tube development,0,Limb bud formation,0,Beta-catenin stabilization and localization,1,Wnt target gene expression,0,Wnt-dependent cell fate determination,0,Anterior-posterior axis specification,0,Dorsal-ventral axis formation,0,Wnt signaling pathway,1,Wnt/β-catenin target gene transcription,*,Formation of β-catenin/TCF transcriptional complex,0,Inhibition of β-catenin degradation pathway,0,Beta-catenin independent Wnt signaling pathway,0,Canonical Wnt signaling pathway,1,Wnt/PCP signaling pathway,0
Metabolism,29,SULT1E1 DIO2 MME HSD17B11 IDE ECE1 ACE HSD17B6 DIO3 SPP1 SRD5A1 CYP19A1,Estradiol Biosynthesis,hormone catabolic process,Regulation of hormone levels,TRUE,0.1905773,0.428360897,0.65802515,0.998362535,1,Regulation of hormone levels,1,Signal transduction,0,Steroid Metabolism,1,Thyroid Hormone Metabolic Process,1,Peptidase Activity,0,Estrogen metabolic process,0,Thyroid hormone metabolic process,0,Angiotensin maturation,0,Estrogen Biosynthesis,1,Androgen Metabolism,1,Thyroid Hormone Activation,0,Thyroid Hormone Activation,0,Thyroid Hormone Deactivation,0,Thyroid Hormone Clearance,0,Aromatization of Androgens,1,Regulation of Estrogen Receptor Signaling,1,Inactivation of Estrogens,0,Testosterone Biosynthesis,0,Dihydrotestosterone Regulation,0,Androgen Catabolism,0,Estradiol Biosynthesis,*,Estrogen Receptor Binding,0,Regulation of Estrogen Metabolic Process,1,Estrogen Catabolic Process,0,Modulation of Synaptic Transmission by Estrogen,0,Androgen to Estrogen Conversion,0
Signal transduction,30,OPRK1 SGIP1 GHSR AGRP NR4A3 GHRL RXFP4 NPY INSL5 MC1R CFAP20,Regulation of appetite by ghrelin,positive regulation of feeding behavior,Regulation of appetite,TRUE,0.5028394,0.99222204,0.63042307,0.998362535,1,Regulation of appetite,1,Hormone-mediated signaling pathway,0,G-protein coupled receptor signaling pathway,1,Peptide hormone-mediated signaling pathway,0,Regulation of appetite,1,Ghrelin signaling pathway,0,Neuropeptide signaling pathway,0,Melanocortin receptor signaling pathway,0,Neuropeptide signaling pathway,1,Regulation of appetite,1,Melanocortin receptor signaling pathway,0,Neuropeptide signaling pathway,1,Ghrelin secretion,0,Melanocortin receptor signaling pathway,0,Opioid neuropeptide signaling pathway,0,Ghrelin signaling pathway,1,Melanocortin signaling pathway,0,Neuropeptide signaling pathway,1,Ghrelin signaling pathway,1,Melanocortin receptor signaling pathway,0,Regulation of appetite by ghrelin,*,Ghrelin-induced growth hormone secretion,0,Ghrelin modulation of energy homeostasis,0,Ghrelin signaling pathway,0,Melanocortin receptor signaling pathway,1,Opioid neuropeptide signaling pathway,0
Cell communication,31,HEG1 PTGS2 RGCC WNT11 ROCK2 AIF1,Wnt/Ca2+ pathway activation,regulation of fibroblast growth factor production,Regulation of fibroblast migration,TRUE,0.4097016,0.951858523,0.6668359,0.998116915,1,Response to stimulus,0,Regulation of cell proliferation,1,Signal transduction,1,Inflammatory response,1,Angiogenesis,0,Regulation of angiogenesis,0,Positive regulation of inflammatory response,0,Wnt signaling pathway,0,Wnt signaling pathway,1,Inflammatory response,1,Angiogenesis,0,Prostaglandin biosynthetic process,0,Immune cell migration,0,Regulation of cytokine production,0,Non-canonical Wnt signaling pathway,1,Regulation of cell migration,1,Regulation of angiogenesis,0,Prostaglandin biosynthetic process,0,Leukocyte migration,0,Cytokine production,0,Wnt/Ca2+ pathway activation,*,Planar cell polarity (PCP) pathway activation,1,Regulation of actin cytoskeleton by Wnt,0,Regulation of endothelial cell migration,0,Regulation of inflammatory cell migration,0,Regulation of fibroblast migration,0
Transport,32,SLC44A4 SLC19A2 SLC25A19 SLC19A3,Choline import via SLC44A4,thiamine transmembrane transport,Thiamine transport,TRUE,0.5787308,0.998444408,0.96773684,0.999836253,1,Ion homeostasis,0,Metabolism,1,Transmembrane transport,1,Vitamin transport,1,Organic cation transport,0,Vitamin Transport,0,Mitochondrial Transport,0,Choline Transport,0,Organic anion transmembrane transport,0,Mitochondrial transmembrane transport,0,Choline transmembrane transport,1,Thiamine transport,0,Mitochondrial thiamine pyrophosphate transport,1,Choline transport,0,Choline import into cell,1,Regulation of choline transmembrane transport,0,Choline efflux from cell,0,Mitochondrial thiamine pyrophosphate transmembrane transport,1,Mitochondrial membrane potential maintenance,0,Thiamine pyrophosphate-dependent enzyme activation,0,Choline import via SLC44A4,*,Choline import regulation by SLC44A4 expression,0,Post-translational modification of SLC44A4 in choline transport,0,Mitochondrial thiamine pyrophosphate import,1,Regulation of mitochondrial thiamine pyrophosphate transport activity,0,Mitochondrial thiamine pyrophosphate transport ATPase activity,0
Transport,33,SLC7A5 LLGL2 SLC3A2 SLC25A44 SLC6A14 SLC6A15 SLC38A7 SLC43A1 SLC7A8 SLC38A9 SLC6A20 SLC43A2 SLC6A17,Regulation of amino acid transmembrane transport,branched-chain amino acid transport,Basic amino acid transport,TRUE,0.5819738,0.994596365,0.86146194,0.99950876,1,Cellular metabolic process,1,Regulation of ion homeostasis,0,Amino acid transport,1,Ion transport,0,Symporter activity,0,Amino acid transport,1,Regulation of ion homeostasis,0,Mitochondrial substrate transport,1,Neutral amino acid transport,1,Basic amino acid transport,0,Regulation of amino acid transport,0,Neutral amino acid transport,1,Cationic amino acid transport,1,Amino acid transmembrane transport,0,Large neutral amino acid transport,1,System L amino acid transport,1,Neutral amino acid efflux,0,System L amino acid transport,1,Glutamine transport,0,Alanine transport,0,Leucine transport,0,System L amino acid transport,0,Regulation of amino acid transmembrane transport,*,Large neutral amino acid transmembrane transport,1,Regulation of amino acid transmembrane transport,1,Amino acid import across the plasma membrane,0
DNA repair,34,NHEJ1 TFIP11 TMSB4X XRCC1 GCLM ANTKMT ATPSCKMT XRCC4 AIMP2 RIPK3 MID1IP1 RGN,DNA Ligase IV complex stabilization,regulation of ligase activity,DNA ligase IV stabilization,TRUE,0.6168455,0.99950876,0.66007245,0.999590634,1,Cellular response to stress,1,Protein synthesis,0,Double-strand break repair via non-homologous end joining,1,Single-strand break repair,0,DNA damage response,1,DNA damage response,1,Oxidative stress response,0,Apoptotic signaling pathway,0,DNA end processing involved in double-strand break repair via non-homologous end joining,1,Ligation of DNA strands involved in double-strand break repair via non-homologous end joining,1,DNA damage response signaling in double-strand break repair via non-homologous end joining,0,Double-strand break repair via non-homologous end joining,0,Base excision repair,0,DNA damage signaling,0,DNA end trimming in non-homologous end joining,1,DNA-PKcs activation in non-homologous end joining,0,DNA ligase IV stabilization,0,DNA Ligase IV complex assembly,1,Adenylation of DNA Ligase IV,0,Recruitment of DNA Ligase IV to DNA double-strand break sites,0,DNA-PKcs recruitment and activation,1,Ligation of trimmed DNA ends,1,DNA end bridging,0,DNA Ligase IV complex stabilization,*,DNA Ligase IV adenylation,0,DNA end processing,0
Immune system process,35,AGER TNF FGG FGB BMP7 GCNT2 IL1B LCK CD44 FGA THY1 FLOT1 SKAP1 CEACAM6 IL10,Cytokine production,positive regulation of heterotypic cell-cell adhesion,Cell adhesion,TRUE,0.30059123,0.553545112,0.6612134,0.995415097,1,Blood coagulation,1,Cell adhesion,0,Inflammatory response,1,Lymphocyte activation,0,Cytokine production,0,Fibrin clot formation,1,Platelet activation,0,Secondary hemostasis,0,Cytokine production,1,Leukocyte migration,0,Acute-phase response,1,Thrombin activation,0,Fibrinogen to fibrin conversion,0,Fibrin cross-linking,0,Proinflammatory cytokine production,1,Cytokine secretion,0,Regulation of cytokine production,0,Fibrinogen biosynthesis,0,Cytokine production,0,Inflammatory signal transduction,1,TNF signaling pathway,0,IL-1 beta secretion,0,Macrophage activation,0,Cytokine production,*,Leukocyte activation,1,Endothelial cell activation,0
Cellular response to stress,36,CIAO3 AQP11 GSTP1 SOD2 ADNP ALAS2 CAV1 HIF1A EGLN1 WNT7B,Hypoxic response via HIF-1 stabilization,gas homeostasis,Oxygen homeostasis,TRUE,0.44055825,0.981987883,0.68610775,0.998853774,1,Signal transduction,1,Developmental process,0,Response to oxidative stress,1,Glutathione metabolic process,0,Cellular response to hypoxia,1,Hypoxia-inducible factor signaling pathway,0,Wnt signaling pathway,0,Caveolae-mediated signal transduction,0,Cellular antioxidant activity,1,Mitochondrial superoxide metabolic process,0,Glutathione metabolic process,0,HIF-1 alpha signaling pathway,1,Oxygen homeostasis,0,Angiogenesis induced by hypoxia,0,Glutathione conjugation,0,Superoxide dismutation,0,Hydrogen peroxide detoxification,0,Angiogenesis via HIF-1 signaling,1,Erythropoiesis via HIF-1 signaling,0,Cellular response to oxidative stress via HIF-1 signaling,1,Vascular endothelial growth factor (VEGF) signaling pathway,0,Endothelial cell proliferation,0,Hypoxic response via HIF-1 stabilization,*,Regulation of superoxide dismutase (SOD2) expression,0,Hypoxia-induced angiogenesis,1,Transcriptional activation of antioxidant enzymes,0
Signal transduction,37,RFLNB RFLNA ZNF664-RFLNA PTHLH,Osteoblast differentiation,negative regulation of chondrocyte development,Parathyroid hormone-related protein signaling in chondrocytes,TRUE,0.40725115,0.855739316,0.40918696,0.858768626,1,Gene expression,1,Developmental process,0,G protein-coupled receptor signaling pathway,1,Regulation of intracellular signal transduction,0,Calcium ion homeostasis,0,Transcriptional regulation,1,mRNA processing,0,Endocrine hormone release,0,Parathyroid hormone receptor signaling pathway,1,Regulation of bone mineralization,1,Calcium ion homeostasis,0,Chromatin remodeling,0,Transcription factor binding,0,Regulation of parathyroid hormone-like hormone production,0,Parathyroid hormone-mediated bone remodeling,1,Parathyroid hormone-induced calcium ion homeostasis,0,Parathyroid hormone-related protein signaling in chondrocytes,0,PTH/PTHrP receptor signaling in osteoblasts,1,Osteoblast differentiation,0,Bone matrix organization,0,Osteoblast differentiation,*,Osteoclast regulation,0,Parathyroid hormone receptor signaling,1,Activation of cAMP response element-binding protein (CREB) in osteoblasts,0,Regulation of osteoblast proliferation,0,Upregulation of bone matrix protein synthesis,0
Immune system process,38,FCGR2B PLA2G5 CCR2,Fc-gamma receptor-mediated phagocytosis,immune complex clearance by monocytes and macrophages,Immune complex clearance by Fc-gamma receptor signaling pathway,TRUE,0.57221496,0.997298182,0.77493596,0.999672507,1,Lipid metabolic process,0,Cellular response to chemical stimulus,1,Fc-gamma receptor signaling pathway involved in phagocytosis,1,Inflammatory response,1,Lipid catabolic process,0,Chemotaxis,0,Inflammatory response,1,Phospholipid metabolic process,0,Fc-gamma receptor signaling pathway involved in phagocytosis mediated by FCGR2B,1,Negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis,0,Intracellular signal transduction involved in Fc-gamma receptor signaling pathway in phagocytosis,0,Monocyte chemotaxis,1,Phagocyte activation,0,Lipid mediator biosynthesis,0,Immune complex clearance by Fc-gamma receptor signaling pathway,1,Negative regulation of antibody production by Fc-gamma receptor signaling pathway,0,Antigen processing and presentation via Fc-gamma receptor signaling pathway,0,CCR2-mediated signal transduction,1,Monocyte adhesion,0,Inflammatory cytokine production,0,Fc-gamma receptor-mediated phagocytosis,*,Activation of immune response via FCGR2B signaling,0,Negative regulation of antibody production via FCGR2B,0,CCR2-mediated inflammatory response,0,CCR2-mediated monocyte activation,1,CCR2-mediated chemokine production,0
Gene expression,39,STPG4 USP7 APOBEC1 OTUD4 USP9X HNRNPAB TRIM28 GATA3 DPPA3 A1CF TOX,GATA3-mediated transcription in Th2 cells,regulation of DNA demethylation,Regulation of DNA replication in response to damage,TRUE,0.24021654,0.36237105,0.54089504,0.984853447,1,Protein modification process,1,Immune system process,0,Transcriptional regulation,1,mRNA processing,0,Post-translational protein modification,1,Protein deubiquitination,0,Protein ubiquitination,0,RNA-binding protein modification,0,T-cell differentiation,1,DNA damage response,1,Ubiquitin-mediated proteolysis,0,Protein deubiquitination,0,Regulation of transcription factor activity,0,mRNA processing,0,Th2 cell differentiation,1,Regulation of T-cell receptor signaling,1,Cytokine production by T-cells,0,DNA repair,0,DNA damage signaling,0,Regulation of DNA replication in response to damage,0,IL-4 production in Th2 cells,0,GATA3-mediated transcription in Th2 cells,*,Th2 cell proliferation,0,Positive regulation of T-cell receptor signaling pathway,1,Negative regulation of T-cell receptor signaling pathway,0,T-cell receptor signaling pathway leading to cell cycle arrest,0
Cell cycle,40,MISP PAFAH1B1 PKHD1 DLG1 FHOD1 MAD2L1 PARD3B CEP83 PARD3 EZR,Chromosome alignment,establishment of centrosome localization,Microtubule anchoring at the centrosome,TRUE,0.50979316,0.968478795,0.7731173,0.999426887,1,Cellular component organization,1,Signal transduction,0,Mitotic spindle assembly,1,Chromosome segregation,0,Cytokinesis,1,Cytoskeleton organization,0,Microtubule organizing center organization,0,Cell-cell junction organization,0,Chromosome segregation,1,Mitotic spindle checkpoint signaling,1,Microtubule anchoring at the centrosome,0,Actin filament-based process,0,Contractile ring assembly,0,Midbody organization,0,Anaphase chromosome segregation,0,Sister chromatid cohesion,0,Spindle checkpoint signaling,1,Chromosome alignment checkpoint,0,APC/C inhibition,0,Kinetochore-microtubule attachment monitoring,1,Chromosome alignment,*,Anaphase-promoting complex/cyclosome (APC/C) regulation,1,Kinetochores attachment,0,Chromosome alignment at metaphase plate,0,Anaphase-promoting complex activation,0,Sister chromatid cohesion,0
Protein metabolism,41,MTRFR TRIP4 ZNF598 RACK1 ASCC2 MTRES1 ASCC3 NEMF LTN1,Recognition of misfolded proteins in ERAD,rescue of stalled ribosome,mRNA surveillance,TRUE,0.5333725,0.992631407,0.5847002,0.988783363,1,Gene expression,1,Cellular response to stress,0,Protein ubiquitination,1,Protein folding,0,mRNA surveillance,1,Transcription regulation,0,Protein ubiquitination,1,mRNA surveillance,1,Protein polyubiquitination,1,Proteasomal protein catabolic process,1,Endoplasmic reticulum-associated protein catabolic process (ERAD),0,Nonsense-mediated mRNA decay (NMD),0,Nonstop decay (NSD),0,mRNA splicing,0,Endoplasmic reticulum-associated degradation (ERAD),1,Proteasomal ubiquitin-dependent protein catabolic process,1,Ribosomal protein ubiquitination,0,Polyubiquitin chain disassembly,0,Proteasome core complex assembly,0,ER-associated protein catabolic process (ERAD),0,Recognition of misfolded proteins in ERAD,*,Ubiquitination of ERAD substrates,1,Retrotranslocation of ERAD substrates,0,Protein polyubiquitination,0,Regulation of proteasome activity,0,Targeting of proteins for proteasomal degradation,0
Immune system process,42,CLEC12B KLRC1 KIR2DL1,Inhibition of natural killer cell cytotoxic activation,natural killer cell inhibitory signaling pathway,Natural killer cell receptor signaling pathway,TRUE,0.66734385,0.997461929,0.8915617,0.999918127,1,Cell communication,0,Regulation of cell activation,1,Innate immune response,1,Cellular response to stress,0,Regulation of immune response,1,Inhibition of natural killer cell activation,0,Regulation of T cell mediated immunity,0,Negative regulation of immune response,0,Natural killer cell activation,1,Pattern recognition receptor signaling pathway,0,Inhibitory immunoreceptor signaling pathway,0,Negative regulation of natural killer cell mediated cytotoxicity,1,Inhibition of cell surface receptor signaling pathway,0,Regulation of T-cell mediated cytotoxicity,0,Regulation of natural killer cell mediated cytotoxicity,1,Natural killer cell activation involved in immune response to virus,0,Natural killer cell receptor signaling pathway,1,Inhibition of NK cell target recognition,0,Downregulation of NK cell activating receptors,0,CLEC12B-mediated inhibition of NK cell activation,0,Inhibition of natural killer cell cytotoxic activation,*,Regulation of killer cell lectin-like receptor signaling pathway,1,CLEC12B-mediated modulation of immune response,0,CLEC12B-mediated inhibitory signaling pathway,0,KIR2DL1-mediated activation signaling pathway,0,KLRC1-dependent cytotoxicity,0
Gene expression,43,GAR1 NHP2 NAF1,Pseudouridylation guide snoRNP assembly,snoRNA guided rRNA pseudouridine synthesis,snoRNA-guided rRNA pseudouridylation,TRUE,0.80581677,0.99975438,0.9025281,0.999918127,0,RNA processing,1,Ribosome biogenesis,1,rRNA processing,1,snoRNA binding,0,telomerase RNA assembly,0,rRNA processing,1,snoRNP assembly,1,Pseudouridylation of rRNA,0,snoRNA-guided rRNA modification,1,ribosome biogenesis,0,H/ACA snoRNP assembly,0,rRNA pseudouridylation,0,small nucleolar ribonucleoprotein complex assembly,0,H/ACA snoRNP complex biogenesis,1,H/ACA snoRNP complex assembly,1,rRNA pseudouridylation,1,snoRNA-guided rRNA folding,0,Pseudouridylation of rRNA,0,RNA chaperone activity,0,Assembly of H/ACA snoRNP particles,0,Pseudouridylation guide snoRNP assembly,*,Telomerase complex assembly,1,Ribosome biogenesis,0,H/ACA snoRNP complex assembly,0,snoRNA-guided rRNA pseudouridylation,0,telomerase holoenzyme complex assembly,0
Signal transduction,44,EPB41L5 EPHA2 AXIN1 NODAL,NODAL signaling pathway interaction with Wnt signaling,axial mesoderm morphogenesis,Embryonic pattern specification,TRUE,0.4216022,0.943589324,0.65600765,0.992877026,1,Developmental process,1,Cell adhesion,0,Cell-cell signaling via ephrin receptor signaling pathway,1,Wnt signaling pathway,1,Nodal signaling pathway,0,Embryonic pattern specification,0,Neural crest cell migration,0,Axis specification,0,Ephrin receptor signaling pathway leading to actin cytoskeleton reorganization,1,Angiogenesis via ephrin receptor signaling pathway,0,Neuronal development via ephrin receptor signaling pathway,0,Beta-catenin destruction complex assembly,0,Regulation of canonical Wnt signaling pathway,1,Cellular response to Wnt stimulus,0,EPHA2-mediated dendritic spine morphogenesis,0,EPHA2-ephrinA reverse signaling,0,EPHA2-mediated cell adhesion,0,Beta-catenin destruction complex assembly,0,AXIN1-mediated beta-catenin phosphorylation,1,Negative regulation of beta-catenin/TCF complex formation,1,EPB41L5 regulation of beta-catenin stability,0,EPHA2 modulation of Wnt signaling,0,NODAL signaling pathway interaction with Wnt signaling,*,AXIN1-mediated beta-catenin degradation,1,Inhibition of Wnt/LEF1 signaling by EPHA2,0,NODAL signaling pathway,0
Signal transduction,45,RPS6KA1 DDR2 PDGFRB CYGB ACTA2 LEP GCLC,Vascular smooth muscle cell proliferation,regulation of hepatic stellate cell activation,Ribosomal S6 kinase signaling,TRUE,0.33358788,0.822253152,0.43082103,0.965776977,1,Cellular response to stress,0,Cell proliferation,1,Receptor tyrosine kinase signaling pathway,1,Mitogen-activated protein kinase (MAPK) cascade,0,Oxidative stress response,0,Platelet-derived growth factor receptor signaling pathway,0,Fibroblast growth and proliferation,0,Tyrosine kinase receptor signaling pathway involved in cell proliferation,1,Platelet-derived growth factor receptor signaling pathway,0,Collagen receptor signaling pathway,0,Ribosomal S6 kinase signaling,0,Platelet-derived growth factor receptor signaling pathway involved in cell proliferation,1,Discoidin domain receptor signaling pathway in cell proliferation,0,Mitogen-activated protein kinase signaling pathway involved in cell proliferation,1,Smooth muscle cell proliferation,1,Fibroblast proliferation,0,Response to hypoxia,1,RPS6KA1-mediated MAPK signaling for cell proliferation,0,DDR2-triggered MAPK signaling for cellular differentiation,0,PDGFRB-associated MAPK signaling in cell survival,0,Vascular smooth muscle cell proliferation,*,Pathological smooth muscle cell proliferation,0,Smooth muscle cell proliferative response to growth factor stimulus,1,Angiogenesis,0,Cellular oxidative stress response,0,Smooth muscle cell proliferation,0
Skeletal system development,46,COL2A1 BMP5 LHX1 SSBP3 PFAS DDX10 SOX9,Chondrocyte differentiation,anterior head development,Skeletal system development,TRUE,0.5635544,0.967660062,0.6210149,0.985672179,1,Gene expression,1,Nucleotide metabolism,0,Chondrocyte differentiation,1,Osteoblast differentiation,0,Collagen fibril organization,1,Transcription,0,RNA splicing,0,Chondrocyte differentiation,1,Chondrocyte proliferation,0,Cartilage matrix organization,0,Regulation of chondrocyte apoptosis,0,Cartilage collagen fibril assembly,0,Chondrocyte differentiation,1,Chondrogenesis,1,Collagen fibril organization,0,Cartilage condensation,0,Bone morphogenetic protein (BMP) signaling pathway,0,Collagen fibrillogenesis in cartilage,0,Sox9 signaling pathway,1,Chondrocyte differentiation,1,Chondrocyte differentiation,*,Collagen fibril organization,1,BMP5 signaling,0,Collagen fibril organization,1,Regulation of cartilage development,0,Synthesis of cartilage extracellular matrix,0
Protein folding,47,SIAH3 BAG3 BAG4 LRRK2 LMAN1 C11orf65,Proteasomal ubiquitin-dependent protein catabolic process,negative regulation of protein targeting to mitochondrion,Protein transport,TRUE,0.21831305,0.359587359,0.3507933,0.78025217,1,Intracellular signal transduction,0,Protein transport,1,Chaperone-mediated protein folding,1,Autophagy-related protein folding,0,ER-associated protein folding,0,Golgi to ER protein transport,0,Chaperone-mediated protein folding,1,Ubiquitin-dependent protein catabolic process,1,ATP-dependent protein folding,0,Proteasomal protein degradation,1,Stress-induced chaperone-mediated protein folding,0,Chaperone-mediated autophagy,1,Proteasomal protein catabolic process,0,Endoplasmic reticulum-associated protein catabolism,0,Ubiquitin-mediated proteolysis,1,Chaperone-mediated autophagy,1,Regulation of neuronal protein degradation,0,BAG3-mediated protein quality control,0,LRRK2-related neurodegenerative disease process,0,LMAN1-regulated ER to Golgi transport,0,Proteasomal ubiquitin-dependent protein catabolic process,*,Lysosomal ubiquitin-dependent protein catabolic process,0,Endoplasmic reticulum-associated degradation (ERAD),1,BAG3-mediated protein quality control,0,LRRK2-related neurodegenerative disease autophagy,0,LMAN1-regulated ER-associated degradation,0
Cellular respiration,48,ATP6AP1 CCDC115 ATP6V0A2 ATP6V1G1 TMEM199 ATP6V0D1 NOX1 FOXO1 ATG7 FAS CAV1 ATP6V1A,V-ATPase complex assembly,cellular response to increased oxygen levels,Cellular response to stress,TRUE,0.22372855,0.337072212,0.70278394,0.996643196,1,Cellular response to stress,1,Apoptotic process,0,Oxidative phosphorylation,1,Proton transport across inner mitochondrial membrane,0,ATP synthesis coupled proton transport,1,Oxidative stress response,0,Autophagy,0,Apoptosis,0,Proton translocation across inner mitochondrial membrane,1,Assembly of ATP synthase complex,1,Regulation of mitochondrial membrane potential,0,V-type proton ATPase complex assembly,0,Proton translocation across lysosomal membrane,0,Regulation of lysosomal pH,0,ATP synthesis by ATP synthase,0,Regulation of lysosomal acidification,1,Endosomal pH maintenance,0,Proton transport via ATP synthase,0,Regulation of ATP synthase complex assembly,0,Mitochondrial ATP synthesis coupled proton transport,1,V-ATPase complex assembly,*,Autophagosome maturation,1,Oxidative stress response,0,Proton translocation across inner mitochondrial membrane,0,ATP synthase complex assembly,0,Regulation of mitochondrial membrane potential,0
Developmental process,49,BMP4 TMEM100 ACVRL1 CTNNB1 GDF2 BTG1 NOTCH1 BMP6 ATOH8 VEZF1 ETV2,Endothelial cell differentiation in vasculogenesis,positive regulation of endothelial cell differentiation,Endothelial cell differentiation,TRUE,0.7324874,0.998116915,0.76499724,0.998608155,1,Signal transduction,1,Regulation of gene expression,0,Angiogenesis,1,Osteogenesis,0,Cell differentiation,0,BMP signaling pathway,1,Notch signaling pathway,0,Wnt signaling pathway,0,Vasculogenesis,1,Endothelial cell differentiation,0,Arteriogenesis,0,Chondrocyte differentiation,0,Angiogenesis,1,Osteoblast differentiation,0,Endothelial cell differentiation,1,BMP signaling pathway in vasculogenesis,1,NOTCH signaling pathway in vascular development,0,Endothelial cell differentiation,1,Vascular endothelial growth factor signaling pathway,0,Arterial endothelial cell differentiation,0,Arterial endothelial cell differentiation,0,Venous endothelial cell differentiation,0,Lymphatic endothelial cell differentiation,0,Endothelial cell differentiation in vasculogenesis,*,BMP4-mediated angiogenesis,1,Smad protein signal transduction in vasculogenesis,0
